timestamp,open,high,low,close,volume
2026-03-02,75.0,75.33000183105469,69.19999694824219,71.2300033569336,881329
2026-03-03,71.2300033569336,77.9800033569336,70.41000366210938,74.55999755859375,1009753
2026-03-04,74.73999786376953,77.2300033569336,73.27999877929688,74.66000366210938,617822
2026-03-05,76.1500015258789,82.16000366210938,74.97000122070312,81.01000213623047,707030
2026-03-06,79.08000183105469,92.61000061035156,78.23999786376953,90.9000015258789,996251
2026-03-09,98.0,119.4800033569336,81.19000244140625,94.7699966430664,1107193
2026-03-10,85.75,91.4800033569336,76.7300033569336,83.44999694824219,801564
2026-03-11,86.88999938964844,88.98999786376953,81.79000091552734,87.25,538020
2026-03-12,89.31999969482422,97.19000244140625,88.61000061035156,95.7300033569336,548999
2026-03-13,96.73999786376953,99.31999969482422,92.04000091552734,98.70999908447266,436700
2026-03-16,100.93000030517578,102.44000244140625,92.93000030517578,93.5,455454
2026-03-17,94.41000366210938,98.41999816894531,93.83000183105469,96.20999908447266,308425
2026-03-18,96.0,100.55000305175781,91.95999908447266,96.31999969482422,157222
2026-03-19,99.12999725341797,101.4800033569336,92.80000305175781,96.13999938964844,118719
2026-03-20,95.0,99.66999816894531,93.41999816894531,98.31999969482422,461845
2026-03-23,100.51000213623047,101.66999816894531,84.37000274658203,88.12999725341797,666790
2026-03-24,88.77999877929688,93.36000061035156,86.33999633789062,92.3499984741211,420067
2026-03-25,88.48999786376953,91.7300033569336,86.45999908447266,90.31999969482422,405170
2026-03-26,91.37999725341797,95.44000244140625,89.51000213623047,94.4800033569336,350768
2026-03-27,93.30999755859375,101.23999786376953,92.08000183105469,99.63999938964844,350768
