repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
pallets/flask,5679,2025-02-18 09:21:49+00:00,2025-02-18 09:28:00+00:00,0,[],1,1
pallets/flask,5676,2025-02-08 04:41:55+00:00,2025-02-08 05:02:48+00:00,0,[],2,1
pallets/flask,5673,2025-01-28 06:57:24+00:00,2025-03-29 22:15:26+00:00,60,['cli'],7,1
pallets/flask,5670,2025-01-13 04:57:35+00:00,2025-01-13 07:22:53+00:00,0,[],2,1
pallets/flask,5669,2025-01-10 14:36:15+00:00,2025-01-10 14:48:44+00:00,0,[],0,1
pallets/flask,5667,2025-01-10 08:58:37+00:00,2025-01-10 09:02:03+00:00,0,[],3,1
pallets/flask,5666,2025-01-03 18:51:42+00:00,2025-01-08 21:04:29+00:00,5,[],2,1
pallets/flask,5662,2024-12-29 12:29:29+00:00,2024-12-29 13:19:44+00:00,0,[],3,1
pallets/flask,5661,2024-12-28 15:14:44+00:00,2024-12-28 15:36:53+00:00,0,[],1,1
pallets/flask,5655,2024-12-12 07:26:31+00:00,2024-12-12 15:52:07+00:00,0,[],0,1
pallets/flask,5654,2024-12-11 16:15:26+00:00,2024-12-11 17:15:31+00:00,0,[],2,1
pallets/flask,5653,2024-12-10 18:08:02+00:00,2024-12-10 18:38:05+00:00,0,[],1,1
pallets/flask,5652,2024-12-05 11:56:45+00:00,2024-12-05 14:50:24+00:00,0,[],1,1
pallets/flask,5646,2024-11-20 04:56:02+00:00,2024-11-20 07:21:22+00:00,0,[],1,1
pallets/flask,5645,2024-11-19 12:14:20+00:00,2024-11-24 01:53:05+00:00,4,['typing'],1,1
pallets/flask,5642,2024-11-14 12:01:51+00:00,2024-11-14 15:25:04+00:00,0,[],3,1
pallets/flask,5639,2024-11-13 16:28:05+00:00,2025-09-19 23:45:28+00:00,310,[],7,1
pallets/flask,5636,2024-11-13 01:49:21+00:00,2024-11-13 05:03:24+00:00,0,[],2,1
pallets/flask,5628,2024-11-06 17:34:15+00:00,2024-11-07 19:56:28+00:00,1,['cli'],0,1
