repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
apple/swift,87234,2026-02-14 07:12:31+00:00,2026-03-02 21:07:39+00:00,16,"['concurrency', 'compiler', 'type checker', 'not a bug', 'actor isolation', 'unexpected behavior', '@concurrent', 'swift 6.3']",4,1
apple/swift,87214,2026-02-13 16:34:51+00:00,2026-02-13 16:57:28+00:00,0,"['compiler', 'SILOptimizer', 'crash', 'ownership', 'embedded', 'swift 6.3']",1,1
apple/swift,87190,2026-02-12 19:15:10+00:00,2026-03-13 22:58:38+00:00,29,"['Windows', 'Android', 'build']",1,1
apple/swift,87182,2026-02-12 16:57:21+00:00,2026-02-13 00:21:35+00:00,0,['triage needed'],2,1
apple/swift,87121,2026-02-10 19:03:28+00:00,2026-03-23 18:15:43+00:00,40,"['bug', 'compiler', 'closures', 'expressions']",0,1
apple/swift,87097,2026-02-09 22:58:37+00:00,2026-02-12 17:50:21+00:00,2,"['concurrency', 'type checker', 'closures', 'capture lists', 'expressions', 'nonisolated(nonsending)']",0,1
apple/swift,87094,2026-02-09 21:54:34+00:00,2026-02-20 22:03:39+00:00,11,['Windows'],1,1
apple/swift,87080,2026-02-09 11:59:20+00:00,2026-02-18 23:46:43+00:00,9,['build'],4,1
apple/swift,87072,2026-02-08 18:26:14+00:00,2026-03-19 12:07:45+00:00,38,"['c++ interop', 'crash']",1,1
apple/swift,87071,2026-02-08 18:20:23+00:00,2026-03-19 12:42:15+00:00,38,['c++ interop'],2,1
apple/swift,87069,2026-02-08 16:04:34+00:00,2026-03-03 21:19:05+00:00,23,['triage needed'],5,1
apple/swift,87068,2026-02-08 14:58:41+00:00,2026-03-24 14:03:55+00:00,43,"['concurrency', 'compiler', 'SILGen', 'crash', 'embedded']",2,1
apple/swift,87039,2026-02-06 18:24:02+00:00,2026-02-21 04:18:17+00:00,14,"['compiler', 'type checker', 'generics', 'opaque types', 'crash', 'TypeResolver', 'opaque result types', 'types', 'swift 6.3']",2,1
apple/swift,87036,2026-02-06 17:22:16+00:00,2026-03-23 20:42:29+00:00,45,"['compiler', 'SILGen', 'crash', 'expressions', 'typed throws']",5,1
apple/swift,87025,2026-02-06 09:46:02+00:00,2026-02-09 17:53:55+00:00,3,"['compiler', 'SILOptimizer', 'run-time crash', 'crash', 'swift 6.2', 'miscompile']",1,1
apple/swift,87022,2026-02-06 05:34:37+00:00,2026-02-06 13:20:29+00:00,0,"['compiler', 'accepts invalid', 'SIL', 'ownership', 'swift 6.3']",2,1
apple/swift,87007,2026-02-05 17:38:46+00:00,2026-03-09 05:27:59+00:00,31,['triage needed'],1,1
apple/swift,87005,2026-02-05 16:45:41+00:00,2026-02-05 17:25:50+00:00,0,"['c++ interop', 'Windows']",1,1
apple/swift,86998,2026-02-05 06:12:39+00:00,2026-02-16 06:39:44+00:00,11,"['compiler', 'type checker', 'accepts invalid', 'AutoDiff', 'crash', 'swift 6.3']",1,1
apple/swift,86969,2026-02-04 01:28:09+00:00,2026-02-05 18:59:29+00:00,1,['triage needed'],0,1
apple/swift,86955,2026-02-03 09:46:23+00:00,2026-02-10 16:43:01+00:00,7,['runtime'],0,1
apple/swift,86901,2026-01-30 17:45:01+00:00,2026-03-13 16:38:16+00:00,41,"['Windows', 'verifier', 'crash', 'triage needed', 'ownership']",7,1
apple/swift,86891,2026-01-30 14:33:53+00:00,2026-02-23 19:48:57+00:00,24,"['compiler', 'SIL', 'unexpected warning', 'swift 6.2']",3,1
apple/swift,86890,2026-01-30 13:54:22+00:00,2026-03-06 01:45:54+00:00,34,['triage needed'],1,1
apple/swift,86886,2026-01-30 10:24:14+00:00,2026-02-02 03:50:05+00:00,2,['invalid'],1,1
apple/swift,86841,2026-01-28 13:21:04+00:00,2026-01-29 12:20:59+00:00,0,['not a bug'],2,1
